Community Name,ARSON,BURGLARY,MOTOR VEHICLE THEFT,THEFT
Albany Park,0.0,0.10083065251836558,0.057617515724780334,0.2736831996927066
Archer Heights,0.0,0.057617515724780334,0.06722043501224373,0.09122773323090219
Armour Square,0.0,0.024007298218658473,0.004801459643731695,0.11043357180582897
Ashburn,0.004801459643731695,0.0816248139434388,0.19205838574926778,0.22086714361165793
Auburn Gresham,0.0,0.19205838574926778,0.11523503144956067,0.408124069717194
Austin,0.01920583857492678,0.23047006289912134,0.4033226100734623,0.912277332309022
Avalon Park,0.004801459643731695,0.03841167714985356,0.00960291928746339,0.09122773323090219
Avondale,0.0,0.06722043501224373,0.0816248139434388,0.2400729821865847
Belmont Cragin,0.0,0.14884524895568252,0.10083065251836558,0.36971239256734045
Beverly,0.004801459643731695,0.057617515724780334,0.024007298218658473,0.10083065251836558
Bridgeport,0.0,0.01920583857492678,0.06241897536851203,0.12003649109329236
Brighton Park,0.0,0.06722043501224373,0.04321313679358525,0.13444087002448746
Burnside,0.0,0.01920583857492678,0.00960291928746339,0.01920583857492678
Calumet Heights,0.0,0.04321313679358525,0.04321313679358525,0.0864262735871705
Chatham,0.0,0.20166130503673116,0.11523503144956067,0.47534450472943773
Chicago Lawn,0.00960291928746339,0.2544773611177798,0.11043357180582897,0.2736831996927066
Clearing,0.0,0.028808757862390167,0.00960291928746339,0.03841167714985356
Douglas,0.0,0.0,0.04321313679358525,0.3553080136361454
Dunning,0.0,0.12003649109329236,0.01920583857492678,0.12483795073702406
East Garfield Park,0.0,0.033610217506121864,0.0864262735871705,0.21126422432419456
East Side,0.0,0.00960291928746339,0.028808757862390167,0.06722043501224373
Edgewater,0.0,0.028808757862390167,0.04321313679358525,0.21126422432419456
Edison Park,0.0,0.0,0.01920583857492678,0.03841167714985356
Englewood,0.004801459643731695,0.09122773323090219,0.048014596437316946,0.22566860325538965
Forest Glen,0.0,0.03841167714985356,0.024007298218658473,0.06722043501224373
Fuller Park,0.0,0.0,0.028808757862390167,0.10563211216209728
Gage Park,0.004801459643731695,0.07682335429970712,0.028808757862390167,0.18245546646180438
Garfield Ridge,0.0,0.09122773323090219,0.057617515724780334,0.1632496278868776
Grand Boulevard,0.0,0.057617515724780334,0.06241897536851203,0.2640802804052432
Greater Grand Crossing,0.0,0.15844816824314592,0.07682335429970712,0.3264992557737552
Hegewisch,0.004801459643731695,0.024007298218658473,0.0,0.04321313679358525
Hermosa,0.004801459643731695,0.07202189465597542,0.028808757862390167,0.12003649109329236
Humboldt Park,0.004801459643731695,0.15364670859941423,0.23527152254285302,0.47054304508570605
Hyde Park,0.0,0.09602919287463389,0.024007298218658473,0.31209487684256015
Irving Park,0.004801459643731695,0.12483795073702406,0.057617515724780334,0.2736831996927066
Jefferson Park,0.0,0.03841167714985356,0.004801459643731695,0.172852547174341
Kenwood,0.0,0.057617515724780334,0.014404378931195084,0.12483795073702406
Lake View,0.0,0.0816248139434388,0.07682335429970712,0.9314831708839487
Lincoln Park,0.0,0.10563211216209728,0.06241897536851203,0.8306525183655832
Lincoln Square,0.0,0.07682335429970712,0.028808757862390167,0.21126422432419456
Logan Square,0.0,0.14884524895568252,0.11523503144956067,0.7490277044221443
Loop,0.004801459643731695,0.09122773323090219,0.00960291928746339,1.8581648821241656
Lower West Side,0.0,0.06722043501224373,0.03841167714985356,0.22566860325538965
McKinley Park,0.004801459643731695,0.00960291928746339,0.014404378931195084,0.07682335429970712
Montclare,0.0,0.048014596437316946,0.00960291928746339,0.07682335429970712
Morgan Park,0.0,0.057617515724780334,0.033610217506121864,0.22086714361165793
Mount Greenwood,0.0,0.00960291928746339,0.004801459643731695,0.11523503144956067
Near North Side,0.0,0.0816248139434388,0.12003649109329236,1.8197532049743121
Near South Side,0.0,0.024007298218658473,0.033610217506121864,0.2592788207615115
Near West Side,0.004801459643731695,0.1632496278868776,0.12003649109329236,1.6613050367311664
New City,0.014404378931195084,0.14884524895568252,0.06722043501224373,0.3024919575550967
North Center,0.0,0.04321313679358525,0.028808757862390167,0.22086714361165793
North Lawndale,0.00960291928746339,0.11043357180582897,0.22086714361165793,0.3793153118548039
North Park,0.0,0.048014596437316946,0.00960291928746339,0.10083065251836558
Norwood Park,0.0,0.04321313679358525,0.01920583857492678,0.1632496278868776
O'Hare,0.0,0.004801459643731695,0.09602919287463389,0.19205838574926778
Oakland,0.0,0.004801459643731695,0.004801459643731695,0.0816248139434388
Portage Park,0.004801459643731695,0.09602919287463389,0.11043357180582897,0.24487444183031642
Pullman,0.0,0.014404378931195084,0.028808757862390167,0.10083065251836558
Riverdale,0.004801459643731695,0.01920583857492678,0.01920583857492678,0.07202189465597542
Rogers Park,0.0,0.0864262735871705,0.033610217506121864,0.3505065539924137
Roseland,0.0,0.23047006289912134,0.12003649109329236,0.3793153118548039
South Chicago,0.004801459643731695,0.1632496278868776,0.07202189465597542,0.20646276468046287
South Deering,0.004801459643731695,0.028808757862390167,0.048014596437316946,0.12483795073702406
South Lawndale,0.00960291928746339,0.10083065251836558,0.05281605608104864,0.31689633648629184
South Shore,0.0,0.2496759014740481,0.11523503144956067,0.5761751572478033
Uptown,0.0,0.09602919287463389,0.04321313679358525,0.29769049791136504
Washington Heights,0.0,0.09602919287463389,0.033610217506121864,0.1680510875306093
Washington Park,0.0,0.07682335429970712,0.05281605608104864,0.14404378931195083
West Elsdon,0.0,0.06241897536851203,0.024007298218658473,0.06241897536851203
West Englewood,0.00960291928746339,0.23527152254285302,0.10083065251836558,0.31689633648629184
West Garfield Park,0.0,0.03841167714985356,0.0816248139434388,0.2400729821865847
West Lawn,0.014404378931195084,0.04321313679358525,0.033610217506121864,0.19205838574926778
West Pullman,0.00960291928746339,0.07202189465597542,0.09122773323090219,0.19685984539299947
West Ridge,0.0,0.11043357180582897,0.09602919287463389,0.3505065539924137
West Town,0.004801459643731695,0.29769049791136504,0.18245546646180438,1.3588130791760695
Woodlawn,0.0,0.0864262735871705,0.033610217506121864,0.20646276468046287
