Community Name,ASSAULT,BATTERY,CRIM SEXUAL ASSAULT,HOMICIDE,ROBBERY
Albany Park,0.048014596437316946,0.14884524895568252,0.00960291928746339,0.0,0.10563211216209728
Archer Heights,0.004801459643731695,0.04321313679358525,0.0,0.004801459643731695,0.014404378931195084
Armour Square,0.004801459643731695,0.10083065251836558,0.0,0.004801459643731695,0.0864262735871705
Ashburn,0.07202189465597542,0.12483795073702406,0.0,0.0,0.13444087002448746
Auburn Gresham,0.20166130503673116,0.6674028904787055,0.014404378931195084,0.014404378931195084,0.19685984539299947
Austin,0.41772698900465743,1.3107984827387527,0.024007298218658473,0.03841167714985356,0.28808757862390166
Avalon Park,0.03841167714985356,0.10563211216209728,0.0,0.0,0.03841167714985356
Avondale,0.048014596437316946,0.0864262735871705,0.0,0.0,0.04321313679358525
Belmont Cragin,0.12483795073702406,0.37451385221107214,0.004801459643731695,0.004801459643731695,0.11523503144956067
Beverly,0.028808757862390167,0.024007298218658473,0.0,0.0,0.004801459643731695
Bridgeport,0.03841167714985356,0.0816248139434388,0.0,0.0,0.024007298218658473
Brighton Park,0.10083065251836558,0.19205838574926778,0.004801459643731695,0.00960291928746339,0.057617515724780334
Burnside,0.00960291928746339,0.024007298218658473,0.0,0.0,0.0
Calumet Heights,0.04321313679358525,0.0816248139434388,0.004801459643731695,0.0,0.028808757862390167
Chatham,0.18725692610553607,0.408124069717194,0.00960291928746339,0.014404378931195084,0.13444087002448746
Chicago Lawn,0.1632496278868776,0.36491093292360877,0.014404378931195084,0.014404378931195084,0.20646276468046287
Clearing,0.01920583857492678,0.03841167714985356,0.0,0.0,0.014404378931195084
Douglas,0.06241897536851203,0.20166130503673116,0.0,0.0,0.09122773323090219
Dunning,0.06722043501224373,0.10083065251836558,0.0,0.0,0.024007298218658473
East Garfield Park,0.12483795073702406,0.3793153118548039,0.004801459643731695,0.033610217506121864,0.09122773323090219
East Side,0.028808757862390167,0.11523503144956067,0.004801459643731695,0.004801459643731695,0.00960291928746339
Edgewater,0.06241897536851203,0.13924232966821914,0.00960291928746339,0.0,0.033610217506121864
Edison Park,0.024007298218658473,0.00960291928746339,0.0,0.0,0.0
Englewood,0.19205838574926778,0.5473663993854132,0.00960291928746339,0.01920583857492678,0.12483795073702406
Forest Glen,0.014404378931195084,0.024007298218658473,0.0,0.0,0.0
Fuller Park,0.024007298218658473,0.06722043501224373,0.0,0.0,0.01920583857492678
Gage Park,0.06722043501224373,0.24487444183031642,0.00960291928746339,0.004801459643731695,0.0864262735871705
Garfield Ridge,0.03841167714985356,0.11523503144956067,0.0,0.0,0.014404378931195084
Grand Boulevard,0.07682335429970712,0.2496759014740481,0.004801459643731695,0.0,0.09602919287463389
Greater Grand Crossing,0.23047006289912134,0.5905795361789984,0.004801459643731695,0.014404378931195084,0.14884524895568252
Hegewisch,0.004801459643731695,0.06722043501224373,0.0,0.0,0.00960291928746339
Hermosa,0.033610217506121864,0.09602919287463389,0.0,0.0,0.01920583857492678
Humboldt Park,0.19685984539299947,0.5761751572478033,0.024007298218658473,0.014404378931195084,0.23047006289912134
Hyde Park,0.05281605608104864,0.07202189465597542,0.004801459643731695,0.0,0.04321313679358525
Irving Park,0.06241897536851203,0.18245546646180438,0.014404378931195084,0.0,0.024007298218658473
Jefferson Park,0.04321313679358525,0.057617515724780334,0.0,0.0,0.0
Kenwood,0.07202189465597542,0.09602919287463389,0.004801459643731695,0.0,0.01920583857492678
Lake View,0.057617515724780334,0.32169779613002353,0.024007298218658473,0.0,0.11043357180582897
Lincoln Park,0.033610217506121864,0.13444087002448746,0.0,0.0,0.00960291928746339
Lincoln Square,0.033610217506121864,0.12003649109329236,0.0,0.0,0.00960291928746339
Logan Square,0.0864262735871705,0.28328611898017,0.004801459643731695,0.004801459643731695,0.0864262735871705
Loop,0.11043357180582897,0.34090363470495033,0.0,0.0,0.12963941038075574
Lower West Side,0.0864262735871705,0.1680510875306093,0.014404378931195084,0.0,0.024007298218658473
McKinley Park,0.03841167714985356,0.07202189465597542,0.0,0.0,0.024007298218658473
Montclare,0.04321313679358525,0.028808757862390167,0.0,0.0,0.004801459643731695
Morgan Park,0.057617515724780334,0.14404378931195083,0.0,0.004801459643731695,0.014404378931195084
Mount Greenwood,0.00960291928746339,0.028808757862390167,0.004801459643731695,0.0,0.0
Near North Side,0.14404378931195083,0.456138666154511,0.01920583857492678,0.0,0.14884524895568252
Near South Side,0.06241897536851203,0.12003649109329236,0.0,0.0,0.03841167714985356
Near West Side,0.1632496278868776,0.4321313679358525,0.033610217506121864,0.0,0.1776540068180727
New City,0.15364670859941423,0.38411677149853557,0.01920583857492678,0.033610217506121864,0.13444087002448746
North Center,0.014404378931195084,0.06722043501224373,0.00960291928746339,0.0,0.00960291928746339
North Lawndale,0.3024919575550967,0.7202189465597542,0.004801459643731695,0.00960291928746339,0.2736831996927066
North Park,0.00960291928746339,0.028808757862390167,0.0,0.0,0.014404378931195084
Norwood Park,0.024007298218658473,0.0816248139434388,0.0,0.0,0.00960291928746339
O'Hare,0.033610217506121864,0.06722043501224373,0.004801459643731695,0.0,0.004801459643731695
Oakland,0.014404378931195084,0.03841167714985356,0.0,0.0,0.004801459643731695
Portage Park,0.06722043501224373,0.1632496278868776,0.004801459643731695,0.0,0.024007298218658473
Pullman,0.033610217506121864,0.06722043501224373,0.00960291928746339,0.0,0.048014596437316946
Riverdale,0.09602919287463389,0.14404378931195083,0.0,0.0,0.028808757862390167
Rogers Park,0.0864262735871705,0.29769049791136504,0.00960291928746339,0.0,0.06241897536851203
Roseland,0.23527152254285302,0.6529985115475104,0.0,0.024007298218658473,0.19205838574926778
South Chicago,0.1632496278868776,0.46574158544197436,0.004801459643731695,0.01920583857492678,0.09122773323090219
South Deering,0.05281605608104864,0.12963941038075574,0.0,0.0,0.04321313679358525
South Lawndale,0.14884524895568252,0.3601094732798771,0.004801459643731695,0.014404378931195084,0.0816248139434388
South Shore,0.29288903826763335,0.7970423008594613,0.024007298218658473,0.004801459643731695,0.2688817400489749
Uptown,0.09122773323090219,0.2784846593364383,0.014404378931195084,0.004801459643731695,0.057617515724780334
Washington Heights,0.057617515724780334,0.22566860325538965,0.0,0.00960291928746339,0.07202189465597542
Washington Park,0.0864262735871705,0.2640802804052432,0.0,0.0,0.09122773323090219
West Elsdon,0.014404378931195084,0.0864262735871705,0.0,0.004801459643731695,0.028808757862390167
West Englewood,0.24487444183031642,0.580976616891535,0.00960291928746339,0.024007298218658473,0.13924232966821914
West Garfield Park,0.12963941038075574,0.41292552936092575,0.024007298218658473,0.004801459643731695,0.19685984539299947
West Lawn,0.057617515724780334,0.07682335429970712,0.004801459643731695,0.004801459643731695,0.06241897536851203
West Pullman,0.11523503144956067,0.3505065539924137,0.00960291928746339,0.004801459643731695,0.04321313679358525
West Ridge,0.06241897536851203,0.23047006289912134,0.00960291928746339,0.004801459643731695,0.07682335429970712
West Town,0.15844816824314592,0.3264992557737552,0.004801459643731695,0.004801459643731695,0.18245546646180438
Woodlawn,0.11043357180582897,0.24487444183031642,0.004801459643731695,0.004801459643731695,0.09602919287463389
